Date,Store ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Category_Type,Season,Name,Units_Sold_Lag1,Units_Sold_Lag7,Units_Sold_MA7,Inventory_to_Sales,Is_Spring,Is_Summer,Is_Monsoon,Is_Autumn,Is_Pre-winter,Is_Winter
29-04-2022,S004,Electronics,North,151,87,138,95.16,47.57,0,Sunny,1,44.76,Spring,summer,Air Conditioner,183,401,93.28571429,1.735632184,0,1,0,0,0,0
03-05-2022,S004,Clothing,North,401,221,139,219.03,25.06,10,Rainy,1,21.89,Winter,summer,Scarves,87,95,111.2857143,1.814479638,0,1,0,0,0,0
04-05-2022,S004,Groceries,South,112,63,105,78.65,48.11,20,Sunny,0,47.44,Autumn,summer,Spices,221,78,109.1428571,1.777777778,0,1,0,0,0,0
06-05-2022,S004,Electronics,East,365,4,43,22.91,57.85,20,Snowy,0,57.72,Summer,summer,Fans,63,183,83.57142857,91.25,0,1,0,0,0,0
08-05-2022,S004,Groceries,South,71,47,30,43.69,97.07,10,Snowy,0,98.41,Autumn,summer,Spices,4,18,87.71428571,1.510638298,0,1,0,0,0,0
10-05-2022,S004,Clothing,West,370,44,131,62.25,91.37,5,Sunny,1,91.38,Autumn,summer,Jeans,47,9,92.71428571,8.409090909,0,1,0,0,0,0
11-05-2022,S004,Clothing,West,198,130,105,128.3,55.37,20,Snowy,1,57.62,Autumn,summer,Hoodies,44,183,85.14285714,1.523076923,0,1,0,0,0,0
13-05-2022,S004,Electronics,North,335,302,130,299.82,53.13,15,Sunny,0,54.74,Summer,summer,Coolers,130,87,115.8571429,1.109271523,0,1,0,0,0,0
17-05-2022,S004,Clothing,South,482,218,65,211.16,87.15,0,Cloudy,0,87.5,Spring,summer,T-Shirt,302,221,115.4285714,2.211009174,0,1,0,0,0,0
18-05-2022,S004,Electronics,West,93,23,23,26.5,85.03,15,Rainy,1,88.99,Winter,summer,Electric Blankets,218,63,109.7142857,4.043478261,0,1,0,0,0,0
19-05-2022,S004,Clothing,West,225,45,51,49.08,32.04,5,Cloudy,0,34.43,Autumn,summer,Cardigans,23,4,115.5714286,5.0,0,1,0,0,0,0
20-05-2022,S004,Electronics,South,181,99,99,96.03,38.53,15,Sunny,0,41.75,Autumn,summer,Laptops,45,47,123.0,1.828282828,0,1,0,0,0,0
21-05-2022,S004,Electronics,East,382,352,196,366.47,91.01,10,Snowy,1,90.1,Spring,summer,Air Conditioner,99,44,167.0,1.085227273,0,1,0,0,0,0
22-05-2022,S004,Electronics,East,319,286,52,289.2,52.25,5,Sunny,0,54.57,Spring,summer,Air Conditioner,352,130,189.2857143,1.115384615,0,1,0,0,0,0
23-05-2022,S004,Groceries,West,135,58,90,57.37,81.23,0,Sunny,1,79.44,Winter,summer,Canned Food,286,302,154.4285714,2.327586207,0,1,0,0,0,0
24-05-2022,S004,Groceries,West,252,34,26,37.31,41.26,15,Cloudy,0,37.98,Winter,summer,Soups,58,218,128.1428571,7.411764706,0,1,0,0,0,0
25-05-2022,S004,Electronics,East,362,302,68,309.14,54.48,20,Cloudy,0,58.34,Autumn,summer,Laptops,34,23,168.0,1.198675497,0,1,0,0,0,0
26-05-2022,S004,Electronics,East,309,296,194,309.31,58.41,10,Rainy,0,56.21,Spring,summer,Air Conditioner,302,45,203.8571429,1.043918919,0,1,0,0,0,0
27-05-2022,S004,Groceries,South,163,141,137,157.73,39.61,10,Rainy,1,44.32,Summer,summer,Cold Drinks,296,99,209.8571429,1.156028369,0,1,0,0,0,0
31-05-2022,S004,Electronics,West,272,197,199,198.29,55.46,20,Rainy,0,54.68,Spring,summer,Air Conditioner,141,352,187.7142857,1.38071066,0,1,0,0,0,0
03-06-2022,S004,Clothing,East,137,76,116,91.73,63.78,20,Snowy,1,61.91,Spring,summer,T-Shirt,197,286,157.7142857,1.802631579,0,1,0,0,0,0
04-06-2022,S004,Clothing,East,239,194,148,198.45,64.08,5,Snowy,1,62.06,Winter,summer,Sweaters,76,58,177.1428571,1.231958763,0,1,0,0,0,0
05-06-2022,S004,Groceries,South,148,18,123,32.9,60.98,15,Rainy,1,62.14,Winter,summer,Soups,194,34,174.8571429,8.222222222,0,1,0,0,0,0
06-06-2022,S004,Groceries,North,66,52,62,67.37,54.03,5,Rainy,0,57.07,Spring,summer,Ice Cream,18,302,139.1428571,1.269230769,0,1,0,0,0,0
07-06-2022,S004,Groceries,West,368,192,47,192.67,56.15,5,Cloudy,1,57.58,Autumn,summer,Spices,52,296,124.2857143,1.916666667,0,1,0,0,0,0
08-06-2022,S004,Groceries,West,371,205,191,222.38,68.63,20,Snowy,1,70.06,Summer,summer,Cold Drinks,192,141,133.4285714,1.809756098,0,1,0,0,0,0
13-06-2022,S004,Groceries,North,94,23,39,40.99,89.52,0,Rainy,1,91.07,Autumn,summer,Pasta,205,197,108.5714286,4.086956522,0,1,0,0,0,0
14-06-2022,S004,Electronics,West,171,94,98,100.74,10.92,0,Cloudy,1,10.4,Winter,summer,Heaters,23,76,111.1428571,1.819148936,0,1,0,0,0,0
17-06-2022,S004,Electronics,West,348,141,146,148.75,92.9,15,Cloudy,0,96.97,Spring,monsoon,Waterproof Speaker,94,194,103.5714286,2.468085106,0,0,1,0,0,0
28-06-2022,S004,Electronics,North,255,210,64,206.79,87.83,0,Sunny,1,92.32,Summer,monsoon,Coolers,141,18,131.0,1.214285714,0,0,1,0,0,0
01-07-2022,S004,Clothing,West,267,242,107,232.9,77.96,20,Rainy,1,82.64,Autumn,monsoon,Hoodies,210,52,158.1428571,1.103305785,0,0,1,0,0,0
02-07-2022,S004,Electronics,South,238,1,119,14.68,69.78,0,Rainy,0,65.14,Summer,monsoon,Fans,242,192,130.8571429,238.0,0,0,1,0,0,0
04-07-2022,S004,Electronics,South,197,192,47,200.76,19.98,20,Sunny,1,16.67,Summer,monsoon,Fans,1,205,129.0,1.026041667,0,0,1,0,0,0
05-07-2022,S004,Groceries,North,153,65,153,55.02,15.75,15,Sunny,1,12.05,Spring,monsoon,Instant Noodles,192,23,135.0,2.353846154,0,0,1,0,0,0
06-07-2022,S004,Electronics,North,149,56,32,75.05,70.68,5,Sunny,0,70.63,Winter,monsoon,Geysers,65,94,129.5714286,2.660714286,0,0,1,0,0,0
07-07-2022,S004,Clothing,East,384,306,28,324.21,18.9,20,Rainy,0,14.88,Spring,monsoon,Raincoat,56,141,153.1428571,1.254901961,0,0,1,0,0,0
08-07-2022,S004,Electronics,East,468,197,78,190.41,86.49,20,Rainy,1,89.31,Autumn,monsoon,Smartwatches,306,210,151.2857143,2.375634518,0,0,1,0,0,0
11-07-2022,S004,Electronics,East,368,107,94,117.83,23.56,5,Rainy,0,22.12,Spring,monsoon,Waterproof Speaker,197,242,132.0,3.439252336,0,0,1,0,0,0
15-07-2022,S004,Clothing,South,197,30,143,32.82,12.22,0,Sunny,1,9.73,Spring,monsoon,Raincoat,107,1,136.1428571,6.566666667,0,0,1,0,0,0
16-07-2022,S004,Electronics,West,330,150,68,149.94,15.78,15,Rainy,1,13.4,Winter,monsoon,Electric Blankets,30,192,130.1428571,2.2,0,0,1,0,0,0
19-07-2022,S004,Clothing,South,330,177,134,192.85,46.98,15,Sunny,1,43.28,Summer,monsoon,T-Shirts,150,65,146.1428571,1.86440678,0,0,1,0,0,0
20-07-2022,S004,Electronics,North,128,88,99,92.45,51.48,10,Sunny,0,52.9,Winter,monsoon,Heaters,177,56,150.7142857,1.454545455,0,0,1,0,0,0
21-07-2022,S004,Electronics,North,272,152,28,167.55,32.98,20,Snowy,1,31.44,Winter,monsoon,Heaters,88,306,128.7142857,1.789473684,0,0,1,0,0,0
22-07-2022,S004,Clothing,East,353,129,38,145.74,73.94,5,Snowy,0,73.95,Summer,monsoon,Sunglasses,152,197,119.0,2.736434109,0,0,1,0,0,0
23-07-2022,S004,Clothing,South,483,86,186,100.25,78.71,0,Snowy,0,79.75,Autumn,monsoon,Cardigans,129,107,116.0,5.61627907,0,0,1,0,0,0
26-07-2022,S004,Clothing,South,358,44,193,37.03,47.0,15,Cloudy,0,45.27,Autumn,monsoon,Jeans,86,30,118.0,8.136363636,0,0,1,0,0,0
27-07-2022,S004,Groceries,North,247,0,181,-7.13,26.46,5,Snowy,1,22.82,Summer,monsoon,Ice Cream,44,150,96.57142857,247.0,0,0,1,0,0,0
29-07-2022,S004,Electronics,West,470,301,184,300.27,32.59,20,Rainy,1,35.84,Winter,monsoon,Heaters,0,177,114.2857143,1.561461794,0,0,1,0,0,0
31-07-2022,S004,Groceries,North,276,250,122,250.38,74.05,5,Rainy,1,74.59,Autumn,monsoon,Sauces,301,88,137.4285714,1.104,0,0,1,0,0,0
01-08-2022,S004,Clothing,South,77,64,163,66.26,92.2,10,Cloudy,1,91.86,Summer,monsoon,Shorts,250,152,124.8571429,1.203125,0,0,1,0,0,0
02-08-2022,S004,Electronics,West,54,31,175,43.89,89.94,5,Sunny,0,94.72,Autumn,monsoon,Smartwatches,64,129,110.8571429,1.741935484,0,0,1,0,0,0
03-08-2022,S004,Groceries,North,271,12,182,17.63,12.28,10,Rainy,0,9.95,Autumn,monsoon,Sauces,31,86,100.2857143,22.58333333,0,0,1,0,0,0
06-08-2022,S004,Groceries,South,457,168,166,160.13,96.0,20,Sunny,0,92.85,Spring,monsoon,Instant Noodles,12,44,118.0,2.720238095,0,0,1,0,0,0
07-08-2022,S004,Clothing,South,288,199,53,195.54,32.2,5,Sunny,1,28.0,Winter,monsoon,Scarves,168,0,146.4285714,1.447236181,0,0,1,0,0,0
08-08-2022,S004,Groceries,North,168,116,139,115.12,50.54,15,Sunny,1,49.5,Spring,monsoon,Instant Noodles,199,301,120.0,1.448275862,0,0,1,0,0,0
10-08-2022,S004,Clothing,North,206,167,105,173.47,59.8,10,Sunny,1,62.67,Spring,monsoon,Raincoat,116,250,108.1428571,1.233532934,0,0,1,0,0,0
11-08-2022,S004,Electronics,East,92,79,88,80.86,60.52,10,Cloudy,1,58.82,Spring,monsoon,Waterproof Speaker,167,64,110.2857143,1.164556962,0,0,1,0,0,0
14-08-2022,S004,Groceries,West,258,137,115,130.64,45.26,10,Rainy,1,48.13,Summer,monsoon,Ice Cream,79,31,125.4285714,1.883211679,0,0,1,0,0,0
16-08-2022,S004,Electronics,North,198,17,146,15.78,27.77,20,Sunny,0,25.26,Spring,autumn electronics,Laptop,137,12,126.1428571,11.64705882,0,0,0,1,0,0
17-08-2022,S004,Electronics,East,487,299,133,317.5,11.37,20,Rainy,0,14.71,Winter,autumn electronics,Electric Blankets,17,168,144.8571429,1.628762542,0,0,0,1,0,0
19-08-2022,S004,Clothing,North,386,176,97,191.84,35.8,10,Sunny,1,38.88,Autumn,autumn clothing,Cardigans,299,199,141.5714286,2.193181818,0,0,0,1,0,0
20-08-2022,S004,Groceries,North,300,129,90,130.54,49.12,5,Cloudy,0,53.14,Autumn,autumn groceries,Sauces,176,116,143.4285714,2.325581395,0,0,0,1,0,0
21-08-2022,S004,Groceries,East,332,182,142,173.34,53.23,15,Snowy,0,56.02,Winter,autumn groceries,Hot Chocolate,129,167,145.5714286,1.824175824,0,0,0,1,0,0
22-08-2022,S004,Clothing,East,348,97,111,89.49,12.91,10,Rainy,0,12.07,Autumn,autumn clothing,Cardigans,182,79,148.1428571,3.587628866,0,0,0,1,0,0
25-08-2022,S004,Groceries,South,61,6,128,4.25,23.09,10,Cloudy,1,25.01,Spring,autumn groceries,Pasta,97,137,129.4285714,10.16666667,0,0,0,1,0,0
26-08-2022,S004,Clothing,West,250,20,161,31.22,49.4,15,Sunny,0,44.56,Winter,autumn clothing,Jackets,6,17,129.8571429,12.5,0,0,0,1,0,0
27-08-2022,S004,Groceries,North,448,436,86,444.67,92.18,0,Rainy,1,93.17,Autumn,autumn groceries,Spices,20,299,149.4285714,1.027522936,0,0,0,1,0,0
01-09-2022,S004,Clothing,North,179,92,189,89.08,62.85,5,Snowy,1,58.8,Autumn,autumn clothing,Hoodies,436,176,137.4285714,1.945652174,0,0,0,1,0,0
02-09-2022,S004,Groceries,East,452,418,109,418.46,70.99,10,Snowy,0,68.19,Winter,autumn groceries,Soups,92,129,178.7142857,1.081339713,0,0,0,1,0,0
05-09-2022,S004,Clothing,North,417,313,59,321.61,78.93,15,Snowy,1,81.5,Spring,autumn clothing,Cardigan,418,182,197.4285714,1.332268371,0,0,0,1,0,0
06-09-2022,S004,Electronics,South,471,149,196,156.98,32.19,10,Snowy,0,32.48,Autumn,autumn electronics,Laptops,313,97,204.8571429,3.161073826,0,0,0,1,0,0
08-09-2022,S004,Clothing,North,498,438,68,430.02,55.34,5,Sunny,1,54.87,Spring,autumn clothing,Cardigan,149,6,266.5714286,1.136986301,0,0,0,1,0,0
09-09-2022,S004,Clothing,West,423,155,148,167.41,40.22,0,Snowy,0,42.93,Summer,autumn clothing,T-Shirts,438,20,285.8571429,2.729032258,0,0,0,1,0,0
10-09-2022,S004,Clothing,North,344,59,85,66.51,57.75,0,Sunny,0,58.0,Autumn,autumn clothing,Hoodies,155,436,232.0,5.830508475,0,0,0,1,0,0
12-09-2022,S004,Electronics,South,259,35,36,49.88,49.07,0,Snowy,1,47.58,Winter,autumn electronics,Electric Blankets,59,92,223.8571429,7.4,0,0,0,1,0,0
13-09-2022,S004,Groceries,South,439,392,196,402.55,88.79,10,Sunny,0,88.28,Autumn,autumn groceries,Pasta,35,418,220.1428571,1.119897959,0,0,0,1,0,0
14-09-2022,S004,Clothing,West,202,151,189,141.92,94.95,15,Sunny,0,90.23,Winter,autumn clothing,Scarves,392,313,197.0,1.337748344,0,0,0,1,0,0
15-09-2022,S004,Groceries,North,104,30,147,21.42,62.84,10,Rainy,0,60.74,Summer,autumn groceries,Cold Drinks,151,149,180.0,3.466666667,0,0,0,1,0,0
16-09-2022,S004,Groceries,West,183,130,98,125.09,12.94,15,Rainy,0,14.4,Autumn,autumn groceries,Sauces,30,438,136.0,1.407692308,0,0,0,1,0,0
18-09-2022,S004,Clothing,North,57,30,91,45.25,57.94,10,Sunny,1,61.96,Spring,autumn clothing,Cardigan,130,155,118.1428571,1.9,0,0,0,1,0,0
19-09-2022,S004,Groceries,North,435,71,79,78.72,31.0,5,Snowy,1,29.64,Autumn,autumn groceries,Sauces,30,59,119.8571429,6.126760563,0,0,0,1,0,0
20-09-2022,S004,Electronics,South,88,22,68,29.46,58.1,20,Cloudy,0,60.91,Autumn,autumn electronics,Tablets,71,35,118.0,4.0,0,0,0,1,0,0
